"","Station","ObsTime","Return","Temperature","Precp","MinDisMRT","NumMRT"
"X","Chengong Public Housing","2016/01/01 00",28,16.7,0,700,3
"X.1","Chengong Public Housing","2016/01/01 01",14,16.6,0,700,3
"X.2","Chengong Public Housing","2016/01/01 02",9,17,0,700,3
"X.3","Chengong Public Housing","2016/01/01 03",10,16.7,0,700,3
"X.4","Chengong Public Housing","2016/01/01 04",3,16.7,0,700,3
"X.5","Chengong Public Housing","2016/01/01 05",3,16.8,0,700,3
"X.6","Chengong Public Housing","2016/01/01 06",1,17.2,0,700,3
"X.7","Chengong Public Housing","2016/01/01 07",6,17.9,0,700,3
"X.8","Chengong Public Housing","2016/01/01 08",5,18.9,0,700,3
"X.9","Chengong Public Housing","2016/01/01 09",10,19.4,0,700,3
"X.10","Chengong Public Housing","2016/01/01 10",15,19.5,0,700,3
"X.11","Chengong Public Housing","2016/01/01 11",7,19.9,0,700,3
"X.12","Chengong Public Housing","2016/01/01 12",21,20.8,0,700,3
"X.13","Chengong Public Housing","2016/01/01 13",9,21.8,0,700,3
"X.14","Chengong Public Housing","2016/01/01 14",13,21.5,0,700,3
"X.15","Chengong Public Housing","2016/01/01 15",13,21.3,0,700,3
"X.16","Chengong Public Housing","2016/01/01 16",15,20.7,0,700,3
"X.17","Chengong Public Housing","2016/01/01 17",25,20.5,0,700,3
"X.18","Chengong Public Housing","2016/01/01 18",21,20.2,0,700,3
"X.19","Chengong Public Housing","2016/01/01 19",10,20.2,0,700,3
"X.20","Chengong Public Housing","2016/01/01 20",11,20.1,0,700,3
"X.21","Chengong Public Housing","2016/01/01 21",10,19.6,0,700,3
"X.22","Chengong Public Housing","2016/01/01 22",16,18.8,0,700,3
"X.23","Chengong Public Housing","2016/01/01 23",13,18,0,700,3
"X.24","Chengong Public Housing","2016/01/02 00",7,17.9,0,700,3
"X.25","Chengong Public Housing","2016/01/02 01",4,18.4,0,700,3
"X.26","Chengong Public Housing","2016/01/02 02",6,18.5,0,700,3
"X.27","Chengong Public Housing","2016/01/02 03",2,18.1,0,700,3
"X.28","Chengong Public Housing","2016/01/02 04",1,17.6,0,700,3
"X.29","Chengong Public Housing","2016/01/02 05",2,17.3,0,700,3
"X.30","Chengong Public Housing","2016/01/02 06",2,17.4,0,700,3
"X.31","Chengong Public Housing","2016/01/02 07",1,17.7,0,700,3
"X.32","Chengong Public Housing","2016/01/02 08",3,18.6,0,700,3
"X.33","Chengong Public Housing","2016/01/02 09",9,19.4,0,700,3
"X.34","Chengong Public Housing","2016/01/02 10",8,19.8,0,700,3
"X.35","Chengong Public Housing","2016/01/02 11",10,19.9,0,700,3
"X.36","Chengong Public Housing","2016/01/02 12",12,19.6,0,700,3
"X.37","Chengong Public Housing","2016/01/02 13",6,19.9,0,700,3
"X.38","Chengong Public Housing","2016/01/02 14",16,19.9,0,700,3
"X.39","Chengong Public Housing","2016/01/02 15",22,20.3,0,700,3
"X.40","Chengong Public Housing","2016/01/02 16",8,20,0,700,3
"X.41","Chengong Public Housing","2016/01/02 17",25,19.9,0,700,3
"X.42","Chengong Public Housing","2016/01/02 18",18,19.7,0,700,3
"X.43","Chengong Public Housing","2016/01/02 19",22,19.4,0,700,3
"X.44","Chengong Public Housing","2016/01/02 20",19,18.8,0,700,3
"X.45","Chengong Public Housing","2016/01/02 21",14,18.7,0,700,3
"X.46","Chengong Public Housing","2016/01/02 22",12,18.6,0,700,3
"X.47","Chengong Public Housing","2016/01/02 23",8,18.7,0,700,3
"X.48","Chengong Public Housing","2016/01/03 00",5,18.7,0,700,3
"X.49","Chengong Public Housing","2016/01/03 01",4,18.7,0,700,3
"X.50","Chengong Public Housing","2016/01/03 02",5,18.7,0,700,3
"X.51","Chengong Public Housing","2016/01/03 03",1,18.4,0,700,3
"X.52","Chengong Public Housing","2016/01/03 04",1,18.5,0,700,3
