Distance_Meters,Youbike_Station,Metro_Station
3200,Taipei City Hospital Renai Branch,MRT Chiang Kai-Shek Memorial Hall
500,Taipei City Hospital Renai Branch,MRT Daan
1300,Taipei City Hospital Renai Branch,MRT Daan Park
1800,Taipei City Hospital Renai Branch,MRT Dongmen
3300,Taipei City Hospital Renai Branch,MRT Gongguan
3300,Taipei City Hospital Renai Branch,MRT Guting
5500,Taipei City Hospital Renai Branch,MRT Jingmei
2800,Taipei City Hospital Renai Branch,MRT Linguang
1900,Taipei City Hospital Renai Branch,MRT Liuzhangli
1700,Taipei City Hospital Renai Branch,MRT Nanjing Fuxing
2500,Taipei City Hospital Renai Branch,MRT Shandao Temple
2500,Taipei City Hospital Renai Branch,MRT Songjiang Nanjing
1600,Taipei City Hospital Renai Branch,MRT Sun Yat-Sen Memorial Hall
2000,Taipei City Hospital Renai Branch,MRT Taipei 101 World Trade Center
2400,Taipei City Hospital Renai Branch,MRT Taipei City Hall
3100,Taipei City Hospital Renai Branch,MRT Taipower Building
1400,Taipei City Hospital Renai Branch,MRT Technology Building
4500,Taipei City Hospital Renai Branch,MRT Wanlong
5000,Taipei City Hospital Renai Branch,MRT Xinhai
1000,Taipei City Hospital Renai Branch,MRT Xinyi Anhe
700,Taipei City Hospital Renai Branch,MRT Zhongxiao Dunhua
700,Taipei City Hospital Renai Branch,MRT Zhongxiao Fuxing
1500,Taipei City Hospital Renai Branch,MRT Zhongxiao Xinsheng
2400,Xinhai & Xinsheng Intersection,MRT Chiang Kai-Shek Memorial Hall
1900,Xinhai & Xinsheng Intersection,MRT Daan
1400,Xinhai & Xinsheng Intersection,MRT Daan Park
1600,Xinhai & Xinsheng Intersection,MRT Dongmen
1000,Xinhai & Xinsheng Intersection,MRT Gongguan
1400,Xinhai & Xinsheng Intersection,MRT Guting
3600,Xinhai & Xinsheng Intersection,MRT Jingmei
2900,Xinhai & Xinsheng Intersection,MRT Linguang
2100,Xinhai & Xinsheng Intersection,MRT Liuzhangli
4000,Xinhai & Xinsheng Intersection,MRT Nanjing Fuxing
3300,Xinhai & Xinsheng Intersection,MRT Shandao Temple
3400,Xinhai & Xinsheng Intersection,MRT Songjiang Nanjing
4200,Xinhai & Xinsheng Intersection,MRT Sun Yat-Sen Memorial Hall
3600,Xinhai & Xinsheng Intersection,MRT Taipei 101 World Trade Center
4600,Xinhai & Xinsheng Intersection,MRT Taipei City Hall
700,Xinhai & Xinsheng Intersection,MRT Taipower Building
1400,Xinhai & Xinsheng Intersection,MRT Technology Building
2600,Xinhai & Xinsheng Intersection,MRT Wanlong
4100,Xinhai & Xinsheng Intersection,MRT Xinhai
2700,Xinhai & Xinsheng Intersection,MRT Xinyi Anhe
3300,Xinhai & Xinsheng Intersection,MRT Zhongxiao Dunhua
3300,Xinhai & Xinsheng Intersection,MRT Zhongxiao Fuxing
2200,Xinhai & Xinsheng Intersection,MRT Zhongxiao Xinsheng
2400,Roosevelt & Xinsheng S. Intersection,MRT Chiang Kai-Shek Memorial Hall
2700,Roosevelt & Xinsheng S. Intersection,MRT Daan
2100,Roosevelt & Xinsheng S. Intersection,MRT Daan Park
2200,Roosevelt & Xinsheng S. Intersection,MRT Dongmen
210,Roosevelt & Xinsheng S. Intersection,MRT Gongguan
1500,Roosevelt & Xinsheng S. Intersection,MRT Guting
2800,Roosevelt & Xinsheng S. Intersection,MRT Jingmei
3100,Roosevelt & Xinsheng S. Intersection,MRT Linguang
2300,Roosevelt & Xinsheng S. Intersection,MRT Liuzhangli
4800,Roosevelt & Xinsheng S. Intersection,MRT Nanjing Fuxing
4000,Roosevelt & Xinsheng S. Intersection,MRT Shandao Temple
4200,Roosevelt & Xinsheng S. Intersection,MRT Songjiang Nanjing
4600,Roosevelt & Xinsheng S. Intersection,MRT Sun Yat-Sen Memorial Hall
3900,Roosevelt & Xinsheng S. Intersection,MRT Taipei 101 World Trade Center
4900,Roosevelt & Xinsheng S. Intersection,MRT Taipei City Hall
650,Roosevelt & Xinsheng S. Intersection,MRT Taipower Building
2000,Roosevelt & Xinsheng S. Intersection,MRT Technology Building
1800,Roosevelt & Xinsheng S. Intersection,MRT Wanlong
4100,Roosevelt & Xinsheng S. Intersection,MRT Xinhai
3600,Roosevelt & Xinsheng S. Intersection,MRT Xinyi Anhe
4100,Roosevelt & Xinsheng S. Intersection,MRT Zhongxiao Dunhua
4100,Roosevelt & Xinsheng S. Intersection,MRT Zhongxiao Fuxing
2900,Roosevelt & Xinsheng S. Intersection,MRT Zhongxiao Xinsheng
1300,NTNU Library,MRT Chiang Kai-Shek Memorial Hall
2100,NTNU Library,MRT Daan
1400,NTNU Library,MRT Daan Park
1000,NTNU Library,MRT Dongmen
1700,NTNU Library,MRT Gongguan
550,NTNU Library,MRT Guting
4300,NTNU Library,MRT Jingmei
3400,NTNU Library,MRT Linguang
2500,NTNU Library,MRT Liuzhangli
4000,NTNU Library,MRT Nanjing Fuxing
2700,NTNU Library,MRT Shandao Temple
3200,NTNU Library,MRT Songjiang Nanjing
4500,NTNU Library,MRT Sun Yat-Sen Memorial Hall
4000,NTNU Library,MRT Taipei 101 World Trade Center
5000,NTNU Library,MRT Taipei City Hall
650,NTNU Library,MRT Taipower Building
1700,NTNU Library,MRT Technology Building
3200,NTNU Library,MRT Wanlong
5500,NTNU Library,MRT Xinhai
3100,NTNU Library,MRT Xinyi Anhe
3500,NTNU Library,MRT Zhongxiao Dunhua
3500,NTNU Library,MRT Zhongxiao Fuxing
2000,NTNU Library,MRT Zhongxiao Xinsheng
